num_item_id,definition,type,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
57,animal,word,animals,0.03,0,0,0.09,0.12,0.04,0.12,0.17,0.17,0.31,0.22,0.27,0.29,0.46,0.41
58,bébé chat,word,animals,0.03,0,0,0,0.1,0.25,0.12,0.21,0.28,0.4,0.31,0.35,0.59,0.43,0.41
59,bébé chien,word,animals,0.01,0.04,0,0.09,0.1,0.25,0.02,0.21,0.26,0.36,0.31,0.31,0.47,0.43,0.41
60,biche,word,animals,0.03,0.04,0,0.18,0,0.07,0.22,0.25,0.18,0.17,0.22,0.19,0.29,0.43,0.24
61,canard,word,animals,0.12,0.12,0,0.55,0.35,0.43,0.66,0.69,0.69,0.76,0.81,0.81,0.82,0.94,0.9
62,chat,word,animals,0.22,0.38,0,0.82,0.52,0.79,0.83,0.75,0.87,0.95,0.97,0.92,0.97,0.97,1
63,cheval,word,animals,0.03,0.15,0,0.36,0.35,0.38,0.49,0.48,0.65,0.79,0.72,0.77,0.82,0.89,0.76
64,chèvre,word,animals,0.01,0,0,0,0.2,0.07,0.1,0.32,0.23,0.26,0.38,0.42,0.38,0.69,0.48
65,chien,word,animals,0.18,0.35,0,0.91,0.5,0.71,0.78,0.75,0.8,0.95,0.91,0.88,1,0.97,1
66,cochon,word,animals,0.03,0.04,0,0.64,0.32,0.41,0.54,0.54,0.63,0.74,0.72,0.69,0.82,0.91,0.86
67,coq,word,animals,0.03,0,0,0.36,0.28,0.29,0.29,0.44,0.36,0.45,0.62,0.62,0.44,0.69,0.69
68,crocodile,word,animals,0.03,0,0,0.18,0.18,0.23,0.37,0.25,0.37,0.45,0.62,0.54,0.68,0.8,0.62
69,dindon,word,animals,0,0,0,0.09,0.08,0.16,0.07,0.21,0.13,0.19,0.31,0.15,0.12,0.23,0.41
70,écureuil,word,animals,0.01,0,0,0.09,0.08,0.11,0.17,0.27,0.22,0.31,0.31,0.31,0.41,0.6,0.28
71,éléphant,word,animals,0.01,0,0,0.55,0.2,0.27,0.41,0.44,0.57,0.69,0.66,0.69,0.79,0.8,0.79
72,fourmi,word,animals,0.01,0,0,0,0.08,0.16,0.24,0.31,0.29,0.43,0.47,0.42,0.59,0.71,0.62
73,girafe,word,animals,0.01,0,0,0.27,0.1,0.21,0.32,0.42,0.46,0.57,0.53,0.65,0.56,0.83,0.66
74,grenouille,word,animals,0.01,0,0,0.18,0.15,0.2,0.34,0.44,0.38,0.48,0.53,0.62,0.56,0.86,0.69
75,hibou,word,animals,0.03,0.04,0,0.09,0.18,0.18,0.24,0.37,0.35,0.24,0.38,0.42,0.35,0.54,0.45
76,lapin,word,animals,0.15,0.31,0,0.73,0.55,0.57,0.71,0.68,0.79,0.81,0.84,0.85,0.94,0.94,1
77,lion,word,animals,0.01,0,0,0.55,0.2,0.27,0.41,0.44,0.49,0.57,0.69,0.77,0.65,0.89,0.83
78,loup,word,animals,0.03,0,0,0.18,0.25,0.29,0.32,0.42,0.5,0.64,0.47,0.58,0.68,0.86,0.72
79,mouton,word,animals,0.01,0.04,0,0.36,0.22,0.29,0.46,0.49,0.52,0.67,0.56,0.62,0.56,0.86,0.86
80,nounours,word,animals,0.04,0.23,0,0.27,0.4,0.54,0.63,0.55,0.67,0.81,0.72,0.77,0.88,0.91,0.9
81,oie,word,animals,0.01,0,0,0.09,0.02,0.05,0.07,0.27,0.18,0.14,0.25,0.15,0.24,0.29,0.31
82,oiseau,word,animals,0.06,0.19,0,0.73,0.5,0.55,0.66,0.59,0.78,0.9,0.75,0.81,0.85,1,0.93
83,ours,word,animals,0.04,0.08,0,0.18,0.28,0.27,0.37,0.39,0.5,0.55,0.59,0.46,0.56,0.74,0.93
84,papillon,word,animals,0.01,0.04,0,0.18,0.25,0.34,0.46,0.38,0.47,0.62,0.5,0.62,0.76,0.89,0.69
85,petite bête,word,animals,0,0.04,0,0,0.1,0.12,0.12,0.18,0.2,0.36,0.41,0.27,0.53,0.46,0.41
86,pinguoin,word,animals,0.03,0,0,0.09,0.02,0.04,0.12,0.31,0.19,0.19,0.44,0.19,0.29,0.46,0.38
87,poisson,word,animals,0.04,0.12,0,0.73,0.5,0.52,0.68,0.55,0.72,0.86,0.81,0.81,0.88,0.97,0.86
88,poney,word,animals,0.01,0,0,0.09,0,0.05,0.12,0.24,0.12,0.29,0.16,0.23,0.15,0.2,0.17
89,poule,word,animals,0.04,0.12,0,0.64,0.4,0.46,0.63,0.52,0.63,0.74,0.62,0.77,0.85,0.91,1
90,renne,word,animals,0,0,0,0.09,0.05,0.02,0.05,0.1,0.09,0.1,0.06,0.04,0.15,0.2,0.14
91,singe,word,animals,0.01,0,0,0.36,0.22,0.27,0.29,0.3,0.42,0.48,0.62,0.62,0.62,0.8,0.76
92,souris,word,animals,0.01,0.04,0,0.36,0.18,0.16,0.32,0.3,0.39,0.43,0.53,0.58,0.68,0.74,0.72
