"num_item_id","definition","type","category","8","9","11","12","13","14","15","16"
290,"ciel","word","outside_places",0,0,0,0,0,0,0,0
291,"cour","word","outside_places",0,0,0,0,0,0,0,0
292,"crèche","word","outside_places",0,0,0,0,0,0,0,0.2
293,"dehors","word","outside_places",0,0,0,0,0.02,0,0,0
294,"eau","word","outside_places",0.02,0,0,0.12,0.06,0,0,0.4
295,"école","word","outside_places",0,0,0,0,0,0,0,0.2
296,"église","word","outside_places",0,0,0,0,0,0,0,0
297,"étoile","word","outside_places",0,0,0,0,0,0,0,0
298,"fête","word","outside_places",0,0,0,0,0,0,0,0
299,"fleur","word","outside_places",0,0,0,0,0,0,0,0
300,"garderie","word","outside_places",0,0,0,0,0,0,0,0
301,"jardin","word","outside_places",0,0,0,0,0,0,0,0
302,"lune","word","outside_places",0,0,0,0,0,0,0,0
303,"magasin","word","outside_places",0,0,0,0,0.01,0,0,0.2
304,"maison","word","outside_places",0,0,0,0,0.02,0,0,0.2
305,"neige","word","outside_places",0,0,0,0,0,0,0,0
306,"parc","word","outside_places",0,0,0,0,0.01,0,0,0
307,"pelle","word","outside_places",0,0,0,0,0,0,0,0
308,"piscine","word","outside_places",0,0,0,0,0,0,0,0
309,"plage","word","outside_places",0,0,0,0,0,0,0,0
310,"pluie","word","outside_places",0,0,0,0,0,0,0,0
311,"soleil","word","outside_places",0,0,0,0,0,0,0,0.2
312,"toboggan","word","outside_places",0,0,0,0,0.01,0.04,0,0
313,"travail","word","outside_places",0,0,0,0,0.01,0,0,0
314,"zoo","word","outside_places",0,0,0,0,0,0,0,0
315,"avion","word","vehicles",0.02,0,0,0,0,0.04,0,0
316,"bus","word","vehicles",0.02,0,0,0,0,0,0,0
317,"camion","word","vehicles",0.02,0,0,0,0,0,0,0
318,"camion de pompier","word","vehicles",0.02,0,0,0,0,0,0,0
319,"moto","word","vehicles",0.02,0,0,0,0,0,0,0
320,"poussette","word","vehicles",0.02,0,0,0,0.02,0.04,0,0.2
321,"train","word","vehicles",0.02,0,0,0,0,0,0,0
322,"vélo","word","vehicles",0.02,0,0,0,0,0,0,0
323,"voiture","word","vehicles",0.02,0,0,0,0,0,0,0
324,"attention","word","descriptive_words",0,0,0.04,0,0.02,0,0,0
325,"avoir faim","word","descriptive_words",0,0,0,0,0,0,0,0
326,"avoir peur","word","descriptive_words",0,0,0,0,0,0,0,0
327,"avoir soif","word","descriptive_words",0,0,0,0,0,0,0,0
328,"beau/belle","word","descriptive_words",0,0,0,0,0,0,0,0.2
329,"bien","word","descriptive_words",0,0,0,0,0.02,0,0,0.2
330,"blessé","word","descriptive_words",0,0,0,0,0,0,0,0.2
331,"bleu","word","descriptive_words",0,0,0,0,0,0,0,0
332,"bon/ne","word","descriptive_words",0,0,0,0.04,0.06,0.04,0,0.2
333,"cassé","word","descriptive_words",0,0,0,0,0.01,0,0,0
334,"chaud/e","word","descriptive_words",0,0,0,0,0,0,0,0
335,"content/e","word","descriptive_words",0,0,0,0,0,0,0,0
336,"dégoûtant/e","word","descriptive_words",0,0,0,0,0,0,0,0
337,"doux/ce","word","descriptive_words",0,0,0,0,0.01,0,0,0
338,"dur","word","descriptive_words",0,0,0,0,0,0,0,0
339,"endormi","word","descriptive_words",0,0,0,0,0,0,0,0
340,"fatigué","word","descriptive_words",0,0,0,0,0.01,0,0,0
341,"froid","word","descriptive_words",0,0,0,0,0,0,0,0
342,"gentil/le","word","descriptive_words",0,0,0,0,0.01,0,0,0
343,"grand","word","descriptive_words",0,0,0,0,0,0,0,0
344,"joli","word","descriptive_words",0,0,0,0,0,0,0,0
345,"malade","word","descriptive_words",0,0,0,0,0,0,0,0
346,"méchant/e","word","descriptive_words",0,0,0,0,0,0,0,0
347,"mignon/ne","word","descriptive_words",0,0,0,0,0.01,0,0,0
348,"mouillé","word","descriptive_words",0,0,0,0,0,0,0,0
349,"parti","word","descriptive_words",0,0,0,0,0.01,0,0,0
350,"pas bon","word","descriptive_words",0,0,0,0,0.01,0,0,0.2
